origin,destination.ziekenhuis_naam,destination.volledig_adres,destination.ziekenhuis,destination.geom,id,rank,section,departure,arrival,type,mode,distance,duration,duration_base,consumption,tolls
63038B191,GROUPE SANTE CHC,"RUE DU NAIMEUX 17, 4802, HEUSY","GROUPE SANTE CHC -- RUE DU NAIMEUX 17, 4802, HEUSY","c(5.86262044523809, 50.5777519)",1,1,1,2025-10-11T08:00:00Z,2025-10-11T08:16:25Z,vehicle,car,16916,985,971,6.3997,0
63038B20-,GROUPE SANTE CHC,"RUE DU NAIMEUX 17, 4802, HEUSY","GROUPE SANTE CHC -- RUE DU NAIMEUX 17, 4802, HEUSY","c(5.86262044523809, 50.5777519)",1,1,1,2025-10-11T08:00:00Z,2025-10-11T08:10:41Z,vehicle,car,15042,641,616,5.0534,0
63038B290,GROUPE SANTE CHC,"RUE DU NAIMEUX 17, 4802, HEUSY","GROUPE SANTE CHC -- RUE DU NAIMEUX 17, 4802, HEUSY","c(5.86262044523809, 50.5777519)",1,1,1,2025-10-11T08:00:00Z,2025-10-11T08:10:01Z,vehicle,car,15702,601,587,5.4339,0
63045B300,GROUPE SANTE CHC,"RUE DU NAIMEUX 17, 4802, HEUSY","GROUPE SANTE CHC -- RUE DU NAIMEUX 17, 4802, HEUSY","c(5.86262044523809, 50.5777519)",1,1,1,2025-10-11T08:00:00Z,2025-10-11T08:37:14Z,vehicle,car,41827,2234,2051,17.6226,0
63045B312,GROUPE SANTE CHC,"RUE DU NAIMEUX 17, 4802, HEUSY","GROUPE SANTE CHC -- RUE DU NAIMEUX 17, 4802, HEUSY","c(5.86262044523809, 50.5777519)",1,1,1,2025-10-11T08:00:00Z,2025-10-11T08:41:00Z,vehicle,car,43458,2460,2273,18.1952,0
63045B363,GROUPE SANTE CHC,"RUE DU NAIMEUX 17, 4802, HEUSY","GROUPE SANTE CHC -- RUE DU NAIMEUX 17, 4802, HEUSY","c(5.86262044523809, 50.5777519)",1,1,1,2025-10-11T08:00:00Z,2025-10-11T08:37:35Z,vehicle,car,42003,2255,2071,17.8269,0
63045B364,GROUPE SANTE CHC,"RUE DU NAIMEUX 17, 4802, HEUSY","GROUPE SANTE CHC -- RUE DU NAIMEUX 17, 4802, HEUSY","c(5.86262044523809, 50.5777519)",1,1,1,2025-10-11T08:00:00Z,2025-10-11T08:39:55Z,vehicle,car,43072,2395,2209,18.0285,0
63045B391,GROUPE SANTE CHC,"RUE DU NAIMEUX 17, 4802, HEUSY","GROUPE SANTE CHC -- RUE DU NAIMEUX 17, 4802, HEUSY","c(5.86262044523809, 50.5777519)",1,1,1,2025-10-11T08:00:00Z,2025-10-11T08:38:25Z,vehicle,car,42508,2305,2120,17.7494,0
63046A09-,GROUPE SANTE CHC,"RUE DU NAIMEUX 17, 4802, HEUSY","GROUPE SANTE CHC -- RUE DU NAIMEUX 17, 4802, HEUSY","c(5.86262044523809, 50.5777519)",1,1,1,2025-10-11T08:00:00Z,2025-10-11T08:12:15Z,vehicle,car,7728,735,651,3.551,0
63046A372,GROUPE SANTE CHC,"RUE DU NAIMEUX 17, 4802, HEUSY","GROUPE SANTE CHC -- RUE DU NAIMEUX 17, 4802, HEUSY","c(5.86262044523809, 50.5777519)",1,1,1,2025-10-11T08:00:00Z,2025-10-11T08:11:14Z,vehicle,car,7796,674,605,4.1284,0
