origin,destination.ziekenhuis_naam,destination.volledig_adres,destination.ziekenhuis,destination.geom,id,rank,section,departure,arrival,type,mode,distance,duration,duration_base,consumption,tolls
55040A110,CHU TIVOLI,"AVENUE MAX BUSET 34, 7100, LA LOUVIERE","CHU TIVOLI -- AVENUE MAX BUSET 34, 7100, LA LOUVIERE","c(4.20766970630106, 50.4778609)",1,1,1,2025-10-11T08:00:00Z,2025-10-11T08:21:35Z,vehicle,car,19753,1295,1206,7.9271,0
55040A12-,CHU TIVOLI,"AVENUE MAX BUSET 34, 7100, LA LOUVIERE","CHU TIVOLI -- AVENUE MAX BUSET 34, 7100, LA LOUVIERE","c(4.20766970630106, 50.4778609)",1,1,1,2025-10-11T08:00:00Z,2025-10-11T08:20:30Z,vehicle,car,18881,1230,1151,7.6042,0
55040A142,CHU TIVOLI,"AVENUE MAX BUSET 34, 7100, LA LOUVIERE","CHU TIVOLI -- AVENUE MAX BUSET 34, 7100, LA LOUVIERE","c(4.20766970630106, 50.4778609)",1,1,1,2025-10-11T08:00:00Z,2025-10-11T08:21:10Z,vehicle,car,18549,1270,1198,7.3082,0
55040A171,CHU TIVOLI,"AVENUE MAX BUSET 34, 7100, LA LOUVIERE","CHU TIVOLI -- AVENUE MAX BUSET 34, 7100, LA LOUVIERE","c(4.20766970630106, 50.4778609)",1,1,1,2025-10-11T08:00:00Z,2025-10-11T08:20:09Z,vehicle,car,18134,1209,1138,7.0209,0
55040B00-,CHU TIVOLI,"AVENUE MAX BUSET 34, 7100, LA LOUVIERE","CHU TIVOLI -- AVENUE MAX BUSET 34, 7100, LA LOUVIERE","c(4.20766970630106, 50.4778609)",1,1,1,2025-10-11T08:00:00Z,2025-10-11T08:18:33Z,vehicle,car,15966,1113,1046,6.4454,0
55040B010,CHU TIVOLI,"AVENUE MAX BUSET 34, 7100, LA LOUVIERE","CHU TIVOLI -- AVENUE MAX BUSET 34, 7100, LA LOUVIERE","c(4.20766970630106, 50.4778609)",1,1,1,2025-10-11T08:00:00Z,2025-10-11T08:18:59Z,vehicle,car,16702,1139,1066,6.8917,0
55040B022,CHU TIVOLI,"AVENUE MAX BUSET 34, 7100, LA LOUVIERE","CHU TIVOLI -- AVENUE MAX BUSET 34, 7100, LA LOUVIERE","c(4.20766970630106, 50.4778609)",1,1,1,2025-10-11T08:00:00Z,2025-10-11T08:19:03Z,vehicle,car,16162,1143,1081,6.5479,0
55040B081,CHU TIVOLI,"AVENUE MAX BUSET 34, 7100, LA LOUVIERE","CHU TIVOLI -- AVENUE MAX BUSET 34, 7100, LA LOUVIERE","c(4.20766970630106, 50.4778609)",1,1,1,2025-10-11T08:00:00Z,2025-10-11T08:19:15Z,vehicle,car,16410,1155,1082,6.6753,0
55040B09-,CHU TIVOLI,"AVENUE MAX BUSET 34, 7100, LA LOUVIERE","CHU TIVOLI -- AVENUE MAX BUSET 34, 7100, LA LOUVIERE","c(4.20766970630106, 50.4778609)",1,1,1,2025-10-11T08:00:00Z,2025-10-11T08:19:50Z,vehicle,car,16349,1190,1128,6.5837,0
55040B113,CHU TIVOLI,"AVENUE MAX BUSET 34, 7100, LA LOUVIERE","CHU TIVOLI -- AVENUE MAX BUSET 34, 7100, LA LOUVIERE","c(4.20766970630106, 50.4778609)",1,1,1,2025-10-11T08:00:00Z,2025-10-11T08:19:59Z,vehicle,car,16750,1199,1126,6.8541,0
