cd_sector,tx_sector_descr_nl,ms_avg_tot_net_taxable_inc,ms_median_net_taxable_inc
24008A18-,KLEIN-KEMPEN,34566,30477
24008A19-,NETELZEEP,43145,29050
24008B00-,ASSENT-CENTRUM,40665,32280
24008B01-,STRUIK,NA,33855
24008B02-,RIJNRODE,NA,33488
24008B09-,ASSENT-VERSPREIDE BEWONING,35280,27122
24008C09-,WERSBEEK-VERSPREIDE BEWONING,42253,29620
24008C19-,MOLENBEEK-VERSPREIDE BEWONING,42430,31957
24008C29-,MUGGENBERG,40515,30835
24009A000,BERTEM CENTRUM,41922,30919
24009A010,BERTEM CENTRUM-OOST,50606,38229
24009A022,DALEM,33437,21873
24009A080,BERTEM-VERSPR. BEWONING-NOORD,55116,36769
24009A091,BERTEM-VERSPR. BEWONING-ZUID,NA,NA
24009A19-,SINT-VERONEVELDEKENS,NA,30340
24009B00-,KORBEEK-DIJLE-KERN,55398,34951
24009B09-,KORBEEK-DIJLE-VERSPR. BEWONING,51908,34701
24009C000,LEEFDAAL-CENTRUM - DORPSTRAAT,45918,31181
24009C01-,SINTE-VERONA,47423,32668
24009C020,LEEFDAAL-CENTRUM - MEZENSTRAAT,42717,29532
24009C032,VOERHOEK,52358,34697
24009C042,HERTWINKEL,54575,39799
24009C081,WEEBERG,39699,26775
24009C091,SCHREI,47225,27855
24009C113,HAMMEVELD,48739,36988
24009C19-,KOOIGE - VREBOS,56818,37431
24011A000,BIERBEEK KERN,46326,35307
24011A081,MOLLENDAAL-VERSPREIDE BEWONING,50931,33909
24011A090,BOVENHEIDE-VERSPREIDE BEWONING,51783,39491
24011A102,BREMT-KERN,48797,39055
24011A191,BENEDENHEIDE-BREMT-VERSPR.BEW.,44662,38448
24011A29-,MEREN,48721,35532
24011A3PP,MEREN,50132,37697
24011A49-,ST.-CAMILLUS -VERSPR. BEWONING,24179,16487
24011A502,RUISBROEK,50020,35228
24011A591,KEIBERG,NA,27364
24011A692,MOLLENDAALBOS,NA,NA
24011B00-,KORBEEK-LO-CENTRUM,42483,30703
24011B012,KORBEEKVELD,47425,35946
24011B02-,KREKELBERG,53128,40747
24011B081,KORBEEK-LO -VERSP. BEW. -BIEST,NA,39128
24011B211,PAPIERMOLEKEN,NA,42341
24011B221,PIMBERG,56673,40460
24011C00-,LOVENJOEL-CENTRUM,40185,30553
24011C01-,SALVE MATER,59100,43353
24011C022,BRUUL,45462,38430
24011C08-,LOVENJOEL-VERSPR.BEW.-SPOOR-N.,61143,39179
24011C091,LOVENJOEL-VERSPR.BEW.-SPOOR-Z.,52480,35618
24011D70-,OPVELP-KERN,44407,33682
24011D71-,VINAVE-KERN,48498,35283
24011D722,CULOT-KERN,57235,40712
24011D791,OPVELP-VERSPREIDE BEWONING,48572,37266
24014A001,BOORTMEERBEEK-CENTRUM,40870,30545
24014A01-,DE BERG,46251,33385
24014A022,GROOTVELD,47179,37018
24014A031,BOORTMEERBEEK LEUVENSESTWG.,46416,34661
24014A090,PIKHAKENDONK,45429,33505
24014A0AJ,LAAR-VERSPREIDE BEWONING,45268,33659
24014A11-,HAACHT STATION - KERN,45295,34747
24014A190,RONSDONK,52925,38290
24014A372,BOORTMEERBEEK INDUSTRIEZONE,37778,32052
24014A39-,OVER DE VAART-VERSPR. BEWONING,48200,35301
24014B00-,HEVER-CENTRUM,45567,35931
24014B012,BIESTSTRAAT,49384,35631
24014B091,DONK - WALKERGAT,44780,32670
24014B100,SCHIPLAKEN-KERN,46416,34988
24014B112,GOORKANT,56655,36935
24014B122,ZEVENBUNDER,70730,45286
24014B133,GOTTENDIJS,NA,39275
24014B181,KASTEEL,NA,NA
24014B1AA,LOBROEKEN,40195,28359
24014B1PA,GOORVELD,35322,21197
24014B2AN,HEVER STATION,46432,33914
24014B314,LIEVEKENSBOS,63092,44830
24014B395,GOTTENDIJS-VERSPREIDE BEWONING,56085,39876
24016A00-,BOUTERSEM-CENTRUM,40686,32607
24016A012,BOUTERSEM-CENTRUM-NOORD,49551,35711
24016A091,BOUTERSEM-VERSPREIDE BEWONING,NA,30426
24016A10-,VERTRIJK-KERN,48073,35939
24016A112,VERTRIJK-NOORD,49105,35333
24016A183,BOST,NA,NA
24016A191,VERTRIJK-VERSPREIDE BEWONING,50451,39834
24016A20-,BUTSEL-KERN,53335,40577
24016A29-,BUTSEL-VERSPREIDE BEWONING,63669,44886
24016B00-,KERKOM-KERN,46162,35521
24016B08-,KERKOM-VERSPREIDE BEWONING,51125,33645
24016B09-,BOSKANT,47797,32455
24016C000,ROOSBEEK-KERN,44854,36526
24016C011,ZAVEL,47038,37104
24016C022,GROENSTRAAT,35030,23214
24016C093,ROOSBEEK-VERSPREIDE BEWONING,48050,37198
24016C19-,NEERBUTSEL,63067,36752
24016D30-,NEERVELP-KERN,47372,34054
24016D391,NEERVELP-VERSPREIDE BEWONING,47628,36687
24016D40-,WILLEBRINGEN-KERN,48516,39507
24016D49-,WILLEBRINGEN -VERSPR. BEWONING,43279,38581
24016D59-,HONSEM-VERSPREIDE BEWONING,36142,28530
24020A001,DIEST-CENTRUM,31861,24715
24020A002,BEGIJNHOF,31437,24589
24020A003,HASSELTSESTRAAT,31254,26427
24020A004,SCHAFFENSE POORT,38118,26815
24020A011,WIJNGAARDSVELD,32554,26448
24020A02-,LEUVENSE EN HASSELTSE POORT,33838,27196
24020A04-,VALLEILAAN - BOUDEWIJNVEST,44383,35553
24020A07-,DIEST INDUSTRIEZONE - M.D.,36669,32186
24020A082,LEOPOLDVEST,NA,NA
24020A11-,DIEST TEN NOORDEN VAN SPOORWEG,NA,41703
24020B001,WEBBEKOM-DORP,35052,30642
24020B002,PARELSBERG,41080,36666
24020B012,KLOOSTERBERG,28167,20621
24020B073,WEBBEKOM LEUVENSESTEENWEG,43494,36342
24020B08-,HALVE MAAN,NA,NA
24020B0MA,ITSELAAR,NA,NA
24020B0PA,PAPENBROEK,41719,27703
24020B11-,PAPENBROEK,33937,26040
24020C001,KAGGEVINNE-KERN,43353,33448
24020C002,BREEMBOS,40345,33848
24020C012,STEINEVELD,53852,35182
24020C081,KAGGEVINNE-VERSPR. BEW.-NOORD,NA,36510
24020C091,KAGGEVINNE-VERSPR. BEW.-ZUID,NA,NA
24020D001,MOLENSTEDE-KERN,45388,36609
24020D002,BLAASBERG,53426,38981
24020D010,KAUWBERG,33297,27355
24020D022,GRASBOS,63203,44248
24020D091,MOLENSTEDE-VERSPREIDE BEWONING,47747,34205
24020D103,EILAND,38786,33870
24020E000,SCHAFFEN-KERN,39994,32674
24020E02-,HEZERHEIDE,41633,35220
24020E030,SCHOONAARDE,34344,28088
24020E090,SCHAFFEN-VERSPREIDE BEWONING,44040,33543
24020E11-,VLEUGT-KERN,45404,36191
24020E19-,VLEUGT-VERSPREIDE BEWONING,46642,34821
24020F00-,DEURNE-KERN,37509,28614
24020F012,KORTE HEIDE,39454,34168
24020F023,MEILRIJK,39058,32772
24020F034,PANNENHOEF,38473,34935
24020F081,GENEVENNE,43031,34607
24020F09-,HOSTE,40368,31411
24028A00-,GEETBETS-CENTRUM,29147,21257
24028A012,DRINKTEILEN,36103,28942
24028A09-,GEETBETS-VERSPREIDE BEWONING,NA,28277
24028A19-,GLABBEEK-VERSPREIDE BEWONING,34369,29141
24028A29-,HOGEN-VERSPREIDE BEWONING,NA,34824
24028A391,BERGEN-VERSPREIDE BEWONING,38240,31265
24028A49-,NIEUWDORP-VERSPREIDE BEWONING,35977,29433
24028A50-,HULSBEEK-KERN,39745,31760
24028A59-,BORGLOON - ARAAN,43641,31825
24028B00-,RUMMEN-KERN,36217,29930
24028B01-,BIESEMSTRAAT,35560,29127
24028B022,BERGENEINDE,39999,32132
24028B091,RUMMEN-VERSPREIDE BEWONING,38215,30079
24028C00-,GRAZEN-KERN,36752,25122
24028C09-,GRAZEN-VERSPREIDE BEWONING,40398,30537
24033A000,HAACHT-KERN,38578,29291
24033A012,SCHARENT,47171,35240
24033A022,BREUGHELWIJK,43396,33436
24033A081,SCHARENT-VERSPREIDE BEWONING,43182,31708
24033A091,LEIBEEK,NA,33249
24033A102,SINT-ADRIAAN,46089,34380
24033A1AW,HOUTHEIDE,48124,33435
24033A1PW,HOOBERG-DE HOUT,NA,30730
24033B000,TILDONK-KERN,42847,31254
24033B012,EIKENBLOK,41745,29542
24033B091,TILDONK-VERSPREIDE BEWONING,49695,36395
24033B100,WAKKERZEEL-KERN,51441,34524
24033B181,LIPSEVELD,50577,39854
24033B1MA,HAACHTTILDONK,NA,NA
24033B1PA,HAMBOS-VERSPREIDE BEWONING,NA,32678
24033B59-,KELFS,50565,37063
24033C00-,WESPELAAR-CENTRUM,41924,32510
24033C012,WOLVENHOEK,50545,39520
24033C023,BOSVELD,45693,36175
24033C091,WESPELAAR-VERSPREIDE BEWONING,52343,35864
24033C10-,HAACHT STATION-KERN,42311,32427
24033C110,WESPELAARSE HOEK,44908,36494
24038A00-,HERENT-CENTRUM,41895,31101
24038A011,KLINIEK,35660,24340
24038A022,ZITTEBLOK,53538,39243
24038A082,BIJLOK,58469,46392
24038A0AA,HOGEBEEK,42232,34834
24038A0PA,KEMPEN,NA,NA
24038A10-,HERENT STATION,43689,33365
24038A112,ZAVELPUT,42463,29659
24038A122,BERGEN,67816,37387
24038A133,HERENT SPOORWEG-ZUID,48429,33450
24038A181,ROESELBERG,NA,NA
24038A191,MOLENVELD,NA,NA
24038A214,GODELINDE,90872,51463
24038A22-,HERENT BRUSSELSE STEENWEG,56941,39555
24038A38-,DEN DOREN,49589,36162
24038A39-,LANGEVELD,53670,40004
24038A41-,KEULENSTRAAT,48010,38081
24038B00-,WINKSELE-CENTRUM,47509,32376
24038B012,IJZERENBERG,52499,36580
24038B023,WIJTHAM,48833,35012
24038B081,WINKSELE-VERSPREIDE BEWONING,52930,33962
24038B091,DIEPENDAAL-VERSPREIDE BEWONING,80557,48532
24038B102,WINKSELE DELLE,45798,33357
24038B112,DIEPENDAAL,68181,47714
24038B183,HOF TER NEFFEN,44023,30648
24038B191,HET BROEK,46869,38960
24038B284,KASTANJE BOS,54199,36091
24038B313,SCHOONZICHT,74953,47296
24038C00-,VELTEM-CENTRUM,43660,32097
24038C01-,VELTEM STATION,48207,37354
24038C02-,BEISEM-VERSPREIDE BEWONING,50488,38615
24038C09-,VELTEM-BEISEM-VERSPR. BEWONING,52466,31145
24038C112,BOVENBERG-KERN,55370,40923
24038C191,BOVENBERG-VERSPREIDE BEWONING,43115,33929
24038C212,BENEDEN-VELTEM-KERN,51797,37527
24038C291,BENEDEN-VELTEM-VERSPR. BEW.,40599,32743
24041A000,HOEGAARDEN-CENTRUM,37261,29976
24041A022,ALTENAKEN,43508,33572
24041A08-,ELST,50953,36695
24041A091,ROMMERSOM,49407,37408
24041A200,NERM-KERN,42578,34920
24041A290,NERM-VERSPREIDE BEWONING,NA,NA
24041A30-,SINT-KATELIJNE-HOUTEM-KERN,52492,39626
24041A39-,ST.KATELIJNE-HOUTEM-VERSP.BEW.,58476,36849
24041A40-,HOKSEM - HOEGAARDEN,46801,37758
24041A41-,HOKSEM - KUMTICH,43173,40717
24041A492,PESTEVELD,NA,NA
24041B00-,MELDERT-KERN,55478,40860
24041B09-,MELDERT-VERSPREIDE BEWONING,55485,41271
24041C00-,OUTGAARDEN-KERN,45519,35635
24041C09-,OUTGAARDEN-VERSPREIDE BEWONING,62646,48431
24043A00-,HOLSBEEK-CENTRUM,33851,25357
24043A012,BERGENVELD,43604,35833
24043A023,CHARTEUZENBERG,58758,41129
24043A091,HOLSBEEK-VERSPREIDE BEWONING,51414,36032
24043A10-,ATTENHOVEN - KERN,43476,33937
24043A122,ATTENHOVENBERG,57491,42649
24043A1MA,HOLSBEEK-DE VUNT,NA,34302
24043A1PA,ATTENHOVEN-VERSPREIDE BEWONING,NA,42871
24043B00-,KORTRIJK-KERN,50768,36483
24043B08-,KORTRIJK-VERSPREIDE BEWONING,54029,41066
24043B09-,GOBBELSRODE - VERSPR. BEWONING,46798,34118
24043B10-,DUTSEL-KERN,51112,41509
24043B19-,DUTSEL-VERSPREIDE BEWONING,41851,28512
24043C00-,NIEUWRODE-KERN,41310,30909
24043C01-,MORTELS - ROT,45685,35716
24043C09-,NIEUWRODE-VERSPREIDE BEWONING,43428,31856
24043D00-,SINT-PIETERS-RODE-KERN,38272,28442
24043D09-,SINT-PIETERS-RODE-VERSPR. BEW.,51699,37461
24045A00-,HULDENBERG-KERN,41205,32214
24045A012,BREEMBOS,53207,34974
24045A0AA,SMEYSBERG - HULDENBERG,53486,37462
24045A0PA,BRIEMBOS - HULDENBERG,41176,28773
24045A19-,KEIHOF-VERSPREIDE BEWONING,36399,26280
24045A29-,VOSSEBEEK-VERSPREIDE BEWONING,46814,33872
24045B00-,LOONBEEK-KERN,NA,39268
24045B012,VRANKSBERG,60421,38497
24045B091,LOONBEEK-VERSPREIDE BEWONING,48567,35522
24045B19-,KLEIN-WAVER,NA,34376
24045C000,NEERIJSE-KERN,44370,32890
24045C012,GANZEMANSTRAAT,40798,25839
24045C091,NEERIJSE-VERSPREIDE BEWONING,58297,39634
24045C19-,WOLFSHAGENSTRAAT,40682,32968
24045D00-,SINT-AGATHA-RODE-KERN,47278,34572
24045D012,OUDE WAVERSEBAAN,55626,34470
24045D023,VEEWEIDESTRAAT - GANSDEL,44762,32023
24045D091,ST-AGATHA-RODE - VERSPR. BEW.,50624,38074
24045E00-,OTTENBURG-KERN,40743,28694
24045E0AA,DE LUIZENBERG - OTTENBURG,47229,31862
24045E0BA,DE TOMME - OTTENBURG,55331,32043
24045E0PA,GROOT OTTENBURG - OTTENBURG,51177,35468
24048A000,KEERBERGEN-KERN,35738,27946
24048A012,MOLEN - HAACHTSEBAAN - PIERVENSHOEK,64975,38868
24048A023,STUVENBERG - ZEEPT,62838,40094
24048A034,BOSZONE,68068,38567
24048A080,RAAMBEEK-VERSPREIDE BEWONING,44890,33102
24048A0PN,DIJLE,NA,33059
24048A11-,KRUISHEIDE,65066,38260
24048A2AA,LOZENHOEK,50982,35441
24048A2PA,HEIKANT,NA,40273
24054A00-,KORTENAKEN-KERN,36544,29313
24054A08-,HEIDE - RIGEL,35913,27448
24054A09-,ZAND - MERELNEST,34835,28429
24054A19-,KLITSENBERG,39327,30912
24054B00-,RANSBERG-KERN,34168,25530
24054B012,RANSBERG-KERN-WEST,40208,33945
24054B091,RANSBERG-VERSPREIDE BEWONING,38899,28005
24054C000,HOELEDEN-KERN,43280,34146
24054C090,HOELEDEN-VERSPREIDE BEWONING,43508,37117
24054C18-,GELBERGEN-VERSPREIDE BEWONING,38857,29289
24054C19-,DRIES - HERREBEEK,41827,34124
24054C282,STOK-SINT MARGRIETE,37400,26129
24054C292,STOK - BUNSBEEK,34691,28221
24054D00-,KERSBEEK-KERN,NA,29948
24054D09-,KERSBEEK-VERSPREIDE BEWONING,42982,34662
24054D102,MISKOM,NA,39665
24054D191,VROENTE,38613,30836
24054E000,WAANRODE-KERN,39400,31960
24054E09-,WAANRODE-VERSPREIDE BEWONING,43525,31904
24055A001,KORTENBERG-CENTRUM,35428,26913
24055A010,LEUVEN BAAN-WEST,36124,27586
24055A022,KORTENBERG KERKHOF,46538,38485
24055A032,MINNEVELD - ST.-JOZEFKLINIEK,48130,29957
24055A042,NEGENHOEK,37196,28337
24055A052,BROEKHOVEN,48833,33765
24055A081,KLOOSTERVELD,NA,NA
24055A091,GULDENDELLE,NA,NA
24055A10-,ACHTERENBERG,47767,29742
24055A191,HOOGVELD,NA,NA
24055B00-,ERPS-CENTRUM,36533,26381
24055B01-,HEUVE,46835,37194
24055B020,ERPS - STATIONSBUURT,45281,36005
24055B032,EIKENVELD,51550,34334
24055B080,TUSSEN ERPS EN SPOORWEG,71200,46392
24055B09-,KEIZERDELLE,NA,35525
24055B10-,KWERPS-KERN,44276,32094
24055B181,WEESBEEK,47464,32344
24055B19-,KOUTER,49861,40352
24055B213,SCHOONAARDE,47545,33807
24055B2MB,D'IETEREN,NA,NA
24055B2PB,WIJNGAARDSBERG,47210,40311
24055B39-,BALKENSTRAAT,44735,32825
24055B4AA,ZONNEWOUD,52028,41306
24055B4PA,OLMENHOEK - DIESTBRUG,51147,34007
24055C001,MEERBEEK-KERN,44512,35163
24055C012,BOSVELD,50139,36658
24055C0AA,TOMME,39124,33312
24055C0PA,HELIOS,49319,34029
24055D00-,EVERBERG-CENTRUM,47977,31663
24055D012,KETTEKENSHOEK - BOEIENDOOL,53342,40993
24055D091,EVERBERG-VERSPREIDE BEWONING,44624,32002
24055D1AA,VREBOS,69741,48563
24055D200,KRUISSTRAAT-KERN,52453,37270
24055D291,KRUISSTRAAT -VERSPR. BEWONING,62041,38005
24055D312,ARMENDAAL,61954,40744
24059A00-,LANDEN-CENTRUM,35775,29485
24059A01-,LANDEN STATION,34486,27979
24059A02-,SLACHTHUIS,32057,25284
24059A03-,STEENBERG,31404,27014
24059A042,BETSVELD,40322,29171
24059A052,ROOSGRACHT,52746,42796
24059A072,LANDEN INDUSTRIEGEBIED,NA,NA
24059A081,ZOUTPOORT,NA,NA
24059A091,HOLIJK-VERSPREIDE BEWONING,50836,41607
24059A10-,SINT-NORBERTUS-KERN,37897,32427
24059A113,SINT-GERTRUDIS-KERN,32574,25780
24059A191,ST.-GERTRUDIS-VERSPR. BEWONING,54116,40501
24059B00-,RUMSDORP-KERN,44677,30925
24059B09-,RUMSDORP-VERSPREIDE BEWONING,43618,37008
24059C00-,WALSHOUTEM-CENTRUM,39312,31498
24059C012,WALSHOUTEM - WEG OP LANDEN,45352,38159
24059C091,WALSHOUTEM-VERSPREIDE BEWONING,49372,36436
24059C10-,WEZEREN-KERN,49965,33173
24059C19-,WEZEREN-VERSPREIDE BEWONING,NA,37445
24059C200,WAASMONT-KERN,40660,33567
24059C212,SONVALWIJK,35912,33907
24059C291,WAASMONT-VERSPREIDE BEWONING,40914,30351
24059C30-,WALSBETS-KERN,52080,38114
24059C312,WALSBETS - WEG OP LANDEN,40564,32829
24059C391,WALSBETS-VERSPREIDE BEWONING,NA,NA
24059D000,NEERWINDEN-KERN,35874,28261
24059D012,NEERWINDEN-OOST,42717,35228
24059D091,NEERWINDEN-VERSPREIDE BEWONING,36098,25893
24059E00-,WANGE-KERN,38377,31019
24059E09-,WANGE-VERSPREIDE BEWONING,72096,40002
24059F00-,ELIKSEM-KERN,43140,36992
24059F09-,ELIKSEM-VERSPREIDE BEWONING,44788,39564
24059G00-,EZEMAAL-KERN,41591,38282
24059G08-,EZEMAAL STATION,NA,31207
24059G099,EZEMAAL-VERSPREIDE BEWONING,NA,37944
24059H00-,LAAR-KERN,43158,34244
24059H09-,LAAR-VERSPREIDE BEWONING,40202,35633
24059J00-,OVERWINDEN-KERN,42386,36505
24059J09-,OVERWINDEN-VERSPREIDE BEWONING,37532,29862
24059K00-,ATTENHOVEN-KERN,35984,28020
24059K012,JONKERJAN,33499,26049
24059K091,ATTENHOVEN-VERSPREIDE BEWONING,43759,37109
24059K113,FABRIEK,37053,32021
24059L00-,NEERLANDEN-KERN,42448,33735
24059L09-,NEERLANDEN-VERSPREIDE BEWONING,55004,34966
24062A00-,LEUVEN-CENTRUM,30521,22286
24062A01-,LEI - VISMARKT,34901,26609
24062A02-,LEUVEN STADSPARK,32931,25134
24062A03-,DAMIAANPLEIN,32853,25852
24062A04-,LEUVEN KLINIEK -O.L.VROUW-KERK,36802,23727
24062A05-,LEUVEN MECHELSE STRAAT,39150,27540
24062A07-,LEUVEN VAART,41351,29873
24062A10-,LEUVEN DIESTSE STRAAT,25822,23747
24062A11-,VITAL DECOSTER,31803,24833
24062A12-,SINT-MAARTENSDAL,18890,17121
24062A13-,VAN MONSSTRAAT,33081,26096
24062A14-,LEUVEN DIESTSEVEST,24662,20412
24062A15-,KARDINAALSTRAAT,35036,26296
24062A20-,BONDGENOTENLAAN,31351,24985
24062A21-,LEPELSTRAAT,27978,24497
24062A22-,MARIA-THERESIASTRAAT,36210,24668
24062A23-,LADEUZE,30751,23487
24062A30-,TIENSESTRAAT,29664,20940
24062A31-,BLIJDE INKOMSTSTRAAT,30063,23928
24062A32-,KLEINE GEVANGENIS,33831,26006
24062A33-,BRABANCONNESTRAAT,28895,24256
24062A34-,CENTRALE GEVANGENIS,NA,NA
24062A35-,VESALIUS,23428,18908
24062A36-,VAN EVEN,NA,24900
24062A40-,SINT-KWINTENS,33964,24466
24062A41-,LEUVEN NAAMSESTRAAT-NOORD,30371,23056
24062A42-,LEUVEN NIEUW KWARTIER,40371,26515
24062A43-,GROOT BEGIJNHOF,28340,19709
24062A44-,REDINGEN,35116,26440
24062A50-,SINT-JACOBS,28276,21273
24062A51-,BRUUL,31184,24440
24062A52-,BANKSTRAAT,36648,27603
24062A53-,MANNENSTRAAT,32454,22986
24062A54-,NOORMANNEN,37006,26299
24062A55-,KEIZERSBERG,36312,25770
24062A61-,KAREELVELD,44981,30969
24062B00-,WILSELE-CENTRUM,38700,31701
24062B08-,VAARTDIJK,NA,31810
24062B091,PUTHOF,40925,31457
24062B100,PUTKAPEL-CENTRUM,43104,32041
24062B11-,NIEUWE STEENWEG,42946,34382
24062B122,KWADE HOEK,48067,38090
24062B132,DRAAK,47256,36421
24062B191,PUTKAPEL-VERSPREIDE BEWONING,50212,40369
24062B27-,WILSELE INDUSTRIEZONE,NA,NA
24062B300,SINT-MARTINUS,45421,36197
24062B32-,WILSELE OUD CENTRUM,47076,34319
24062B33-,WILSELE MECHELSE POORT,39266,29043
24062B34-,ROESELBERG,47112,34359
24062B352,KOKSIJDEWIJK,41581,30652
24062B37-,ZWAAIKOM,NA,36154
24062B391,LANGEVELD-VERSPREIDE BEWONING,49848,42349
24062B423,WILSELE HOEK,47945,39973
24062C00-,BLAUWPUT-CENTRUM,34493,28331
24062C01-,CENTRALE WERKPLAATSEN,41237,32569
24062C02-,KESSEL-LO SPORTSTADION,37141,27158
24062C03-,JEUGDSQUARE,38878,28783
24062C04-,VIJVERPARK,42209,31134
24062C05-,KESSEL-LO ACHTER CENTRALE,41101,30155
24062C0AJ,VORMINGSSTATION,26970,20621
24062C10-,HEFFEL,46902,37829
24062C11-,VLIERBEEK,47576,33493
24062C12-,HEUVELHOF,34160,23642
24062C13-,PINKSTERMOLEN,46710,35343
24062C14-,RERUM NOVARUM,55257,40630
24062C2MA,ZAVELSTRAAT,45567,33049
24062C2PA,LOBERGEN,51768,40757
24062C32-,BENEDEN-LO,54042,38731
24062C39-,BOVEN-LO,57467,42414
24062C40-,KLEIN RIJSEL,37316,26130
24062C41-,BELLE VUE,43132,31873
24062C42-,PASTEURWIJK,47935,34708
24062C43-,TROLIEBERG,50030,33202
24062C44-,DON BOSCO,33530,23631
24062C50-,BENEDEN KESSEL,43516,32965
24062C51-,HET BROEK,40110,31385
24062C52-,BRUINE VELD,46190,36301
24062C59-,BARREEL,32124,26688
24062C61-,KESSELBERG - LEMING,69358,44567
24062C63-,PLEIN,46781,34310
24062C68-,SCHOOLBERGEN,68837,48095
24062D00-,HEVERLEE-CENTRUM,36015,26181
24062D01-,HEVERLEE - DREEF,60912,27078
24062D02-,HEVERLEE NAAMSE POORT,33153,25298
24062D03-,HEVERLEE STATION,34832,26783
24062D04-,HEVERLEE - WAVERSE BAAN,65620,41025
24062D05-,MOLENBEEK,41701,24072
24062D10-,SINT-ANTONIUS,40988,31799
24062D11-,H. HART,40220,31580
24062D19-,HEVERLEE KERKHOF,46004,38606
24062D209,HEVERLEE PARK,52008,34611
24062D21-,MATADI,45252,33429
24062D22-,SAFFRANENBERG,42560,33637
24062D290,HEVERLEE KAZERNE,38778,35414
24062D310,DE JACHT,47257,23527
24062D390,HEVERLEEBOS,NA,NA
24062D410,CAMPUS HEVERLEE,11953,2338
24062D500,EGENHOVEN,59719,33579
24062D512,BOOLEEG,67752,46686
24062D591,ROTSPOEL-VERSPREIDE BEWONING,58325,44566
24062D60-,TERBANK,37436,27960
24062D61-,TER ELST,57580,37768
24062D622,VOGELZANG,39065,25182
24062D633,GASTHUISBERG,NA,41967
24062D644,IJZERMOLEN,39495,28182
24062D691,ALSEMBERG,58409,40813
24062E70-,IJZEREN BRUGJE,54718,39762
24062E710,SPAANSE KROON,49379,37840
24062E72-,ZIEKELINGEN,49554,35543
24062E732,DE MOL,42848,29449
24062E742,PREDIKHERENBRUG,49055,35161
24062E774,HAASRODE INDUSTRIEZONE,53087,32342
24062E790,DEN DUIVEL,48142,37081
24062F40-,WIJGMAAL-KERN,43819,30869
24062F412,WIJVELD,40988,35269
24062F491,DRIES,47150,37992
24066A00-,LUBBEEK-CENTRUM,37703,27715
24066A01-,HEIDE,40789,31212
24066A09-,ST.-MARTINUS -VERSPR. BEWONING,48264,34360
24066A100,ST.-BERNARD-KERN,35254,26313
24066A112,DIEVENHOF,41924,33606
24066A191,ST.-BERNARD -VERSPR. BEWONING,47760,36020
24066B00-,BINKOM-CENTRUM,46995,38342
24066B01-,KAPELSTRAAT,43469,33627
24066B08-,BINKOM -VERSPR. BEWONING-ZUID,47616,34118
24066B09-,BINKOM -VERSPREIDE BEWONING,45418,31758
24066C002,PELLENBERG-KERN,51728,38383
24066C091,PELLENBERG-VERSPREIDE BEWONING,51588,33876
24066C19-,LANGELOWEG-VERSPREIDE BEWONING,77850,45463
24066C29-,ZAVELSTRAAT -VERSPR. BEWONING,48202,33960
24066D00-,LINDEN-CENTRUM,45003,35279
24066D012,LINDEVELD,53189,37239
24066D022,HOOGLINDEN,65632,45488
24066D033,STEENVELD,NA,58244
24066D081,STEENVELD-VERSPREIDE BEWONING,NA,36641
24066D091,LINDEN-VERSPREIDE BEWONING,45104,35302
24066D10-,DE PLEIN,44484,37890
24066D19-,SPRINGEL-RONDENBOS-VERSPR.BEW,52670,40633
24086A000,OUD-HEVERLEE-KERN,51724,38635
24086A012,WINKELVELD - EIKENVELD,58733,42485
24086A023,LINDERONDE - OPPEM,56227,38376
24086A091,OUD-HEVERLEE-VERSPR. BEWONING,55400,32975
24086B002,VAALBEEK-KERN,50141,37218
24086B091,VAALBEEK-VERSPREIDE BEWONING,56256,31507
24086C000,BLANDEN-KERN,56661,40375
24086C012,HOOG BLANDEN,55781,38438
24086C091,BLANDEN-VERSPREIDE BEWONING,55537,44627
24086C0AA,BANHAGE EN SAPPELLENBOS,87850,50855
24086C0PA,WIJNBERG,71615,48732
24086D00-,HAASRODE-KERN,50328,33005
24086D012,DE KEIBERG - DE SLAGBAAN,56574,38882
24086D023,KONIJNENHOEK - BOVENBOS,NA,52626
24086D0PN,"ELZENBROEK, DE WIP, DE BET EN BOETSENBERG",52939,33944
24086D19-,MEERDAALBOS,NA,NA
24086E000,SINT-JORIS-WEERT-KERN,44184,32045
24086E012,WEERT-LEUVENSESTRAAT-NOORD,51195,37156
24086E083,DE KLUIS,51307,36088
24086E091,SINT-JORIS-WEERT -VERSPR. BEW.,49053,31740
24094A00-,ROTSELAAR-CENTRUM,44148,32041
24094A01-,MELKERIJ,48143,38860
24094A022,LOZENHOEK - SINT ANTONIUS,46931,33692
24094A091,MOLEN,47714,36899
24094A0MC,WINGEPARK,NA,33152
24094A0QC,VROUWENPARK,34319,28795
24094A1AA,HELLICHT,48258,36068
24094A1BB,WALENSTRAAT,51938,35874
24094A1PA,HELLICHTBROEK,NA,NA
24094A1QB,MOLEN - TOREN,42721,29626
24094A20-,HEIKANT-KERN,50890,39815
24094A21-,BEVERSLUIS - STWG OP WEZEMAAL,48107,36544
24094A222,HEIKANTBERG,64315,49033
24094A28-,VAKEN-VERSPREIDE BEWONING,43105,32033
24094A291,MIDDELBERG,72013,47307
24094A39-,ZALLAKEN-VERSPREIDE BEWONING,68949,42982
24094B00-,WERCHTER-CENTRUM,39292,30524
24094B010,HOOGLAND,47826,35624
