cd_sector,tx_sector_descr_nl,ms_avg_tot_net_taxable_inc,ms_median_net_taxable_inc
11002J80-,LUCHTBAL-ZUID,19922,18235
11002J820,IJZERLAAN (DAM - SCHIJNPOORT),31008,25173
11002J83-,DUBOISSTRAAT (NOORDWIJK),28619,22640
11002J84-,WILLEMDOK (SPAANSE WALLEN),NA,31417
11002J85-,'T EILANDJE,41208,28372
11002J873,HOUTDOK,NA,37791
11002J8AN,AN-LUCHTBAL-NOORD,24804,21184
11002K171,ALBERTDOK,31373,24668
11002K173,LEOPOLDDOK FORD-FABRIEKEN,NA,NA
11002K1NP,AN-LUITHAGEN-TRANSCONTINENTAALWEG,NA,NA
11002K214,LILLO - FORT,42835,33756
11002L000,ZANDVLIET-KERN(ZANDVL.-5 DIST),42141,33608
11002L011,STALSHOEK(ZANDVLIET-5 DISTR. ),43765,34919
11002L022,GROTE RUIGEHEIDE(ZANDVL.-5DIS),35294,28821
11002L090,NOORDLAANPOLDER-VERSPR. BEW. (ZANDVLIET - 5 DISTRICT),42224,33227
11002L100,BERENDRECHT - KERN (BERENDRECHT - 4 DISTRICT),40455,30942
11002L111,STEENHOVENSTRAAT (BERENDRECHT - 4 DISTRICT),41861,35274
11002L122,VISWATER(BERENDRECHT - 4 DIST),38051,31306
11002L18-,KRAAIENBERG(BERENDRECHT - 4 D),35836,31730
11002P00-,EKEREN-CENTRUM,35879,29087
11002P01-,EKEREN-DORP,32596,25948
11002P02-,SCHOONBROEK,34653,29654
11002P03-,DE GEESTEN,37630,30359
11002P04-,HET ZAND,38408,29921
11002P05-,LEERHOEKSLAAN,46093,37953
11002P100,MARIABURG,43561,33168
11002P111,DE BIST,45681,32926
11002P12-,DE NOTESCHELP,42893,35153
11002P20-,HOEKAKKER,38788,31772
11002P22-,PRINSHOEVELAND,45993,38336
11002P23-,LAGE BIST,40799,29500
11002P242,KLAVERVELDEN,51664,42951
11002P2AP,EK-LUCASWIJK,48855,35017
11002P392,VLOEIENDE,NA,NA
11002P500,LEUGENBERG,41309,33477
11002P589,DE HOEKX,NA,37864
11002P590,KROMMESTR.- AKKER - BREDESTR.- VELDEN,39370,33072
11002P6AK,EK-LEUGENBERG-ZUID,39887,35774
11002P6BK,EK-SCHOONBROEK - TWEEKRONEN,43361,36555
11002P6CK,EK-SCHOONBROEK HANDBOOG,38603,33160
11002P6DK,EK-GR.HAGELKRUIS-L.BAEKELANDSTRAAT,34525,29232
11002P6EK,EK-DONKSE BEEK,19873,17150
11002Q001,OUD MERKSEM,24701,21131
11002Q012,MERKSEM-CENTRUM,24796,21131
11002Q021,LAATLOS,24519,20639
11002Q03-,GAGELVELDEN,30695,26397
11002Q04-,KLUIZEVELDEN,30916,25737
11002Q052,EIGEN HEERD,21628,19523
11002Q072,DUIVELSHOEK,21688,19179
11002Q091,PARK,37254,29941
11002Q10-,OUDE BAREEL,31215,24772
11002Q11-,MERKSEMHEIDE,35687,28900
11002Q12-,KROONWIJK,33414,27374
11002Q13-,MELGESDREEF,30723,24989
11002Q14-,TUINWIJK,32095,25496
11002Q17-,MERKSEM-DOKKEN,30521,31205
11002Q201,LAMBRECHTSHOEKEN,31068,25926
11002Q212,LAARSE BAAN-WEST,30880,26886
11002Q222,RIETSCHOORVELDEN,35649,31063
11002Q233,LAARSE BAAN-OOST,34202,28752
11002Q241,KRUISBAANVELDEN,NA,NA
11002Q242,KRUISBAANVELDEN,35084,28794
11002Q2AA,'T LAAR,46709,38252
11002Q2PP,ME-MERKSEMSE POLDER,NA,NA
11002Q30-,KLEINE BAREEL,39354,27525
11002Q49-,SPORTPALEIS,NA,NA
11002R00-,DEURNE - GEMEENTEHUIS,28202,24673
11002R01-,PLANKENBERG,31080,24355
11002R02-,DEURNE-HET DORP,25643,20881
11002R03-,GALLIFORT,26192,22062
11002R04-,KREGLINGER,29425,24936
11002R05-,TER RIVIEREN,36167,26859
11002R099,RIVIERENHOF-NOORD,NA,NA
11002R101,KRONENBURG,24037,20940
11002R110,BISSCHOPPENHOF,26711,23570
11002R12-,CONFORTA,25811,22857
11002R13-,TEN EEKHOVE,26089,22815
11002R172,KANAAL,23128,20814
11002R180,BREM,30275,24535
11002R19-,KRUININGE,23510,21284
11002R20-,VENNEBORG,30063,25543
11002R21-,MORTELHOEK,29559,25407
11002R22-,ERTBRUGGE,30049,26020
11002R23-,ZWARTE AREND,32496,27758
11002R24-,SCHOTENSTEENWEG,32481,26480
11002R28-,RUGGEVELD,19372,17037
11002R30-,'T MESTPUTTEKE,29286,23532
11002R31-,DRIEKONINGEN,30270,24922
11002R32-,ARENA,27555,22960
11002R33-,KRIEKENHOF,36853,28267
11002R34-,MUGGENBERG,28321,22722
