origin,destination.ziekenhuis_naam,destination.volledig_adres,destination.ziekenhuis,destination.geom,id,rank,section,departure,arrival,type,mode,distance,duration,duration_base,consumption,tolls
71011A091,JESSA ZIEKENHUIS,"STADSOMVAART 11, 3500, HASSELT","JESSA ZIEKENHUIS -- STADSOMVAART 11, 3500, HASSELT","c(5.34171499190718, 50.92607995)",1,1,1,2025-10-11T08:00:00Z,2025-10-11T08:11:52Z,vehicle,car,7452,712,665,3.0009,0
71011A0MA,JESSA ZIEKENHUIS,"STADSOMVAART 11, 3500, HASSELT","JESSA ZIEKENHUIS -- STADSOMVAART 11, 3500, HASSELT","c(5.34171499190718, 50.92607995)",1,1,1,2025-10-11T08:00:00Z,2025-10-11T08:12:39Z,vehicle,car,9116,759,689,3.5991,0
71011A0PA,JESSA ZIEKENHUIS,"STADSOMVAART 11, 3500, HASSELT","JESSA ZIEKENHUIS -- STADSOMVAART 11, 3500, HASSELT","c(5.34171499190718, 50.92607995)",1,1,1,2025-10-11T08:00:00Z,2025-10-11T08:10:09Z,vehicle,car,6559,609,564,2.7332,0
71011A10-,JESSA ZIEKENHUIS,"STADSOMVAART 11, 3500, HASSELT","JESSA ZIEKENHUIS -- STADSOMVAART 11, 3500, HASSELT","c(5.34171499190718, 50.92607995)",1,1,1,2025-10-11T08:00:00Z,2025-10-11T08:12:05Z,vehicle,car,9887,725,683,4.0404,0
71011A115,JESSA ZIEKENHUIS,"STADSOMVAART 11, 3500, HASSELT","JESSA ZIEKENHUIS -- STADSOMVAART 11, 3500, HASSELT","c(5.34171499190718, 50.92607995)",1,1,1,2025-10-11T08:00:00Z,2025-10-11T08:11:11Z,vehicle,car,10242,671,614,4.0378,0
71011A1MB,JESSA ZIEKENHUIS,"STADSOMVAART 11, 3500, HASSELT","JESSA ZIEKENHUIS -- STADSOMVAART 11, 3500, HASSELT","c(5.34171499190718, 50.92607995)",1,1,1,2025-10-11T08:00:00Z,2025-10-11T08:11:40Z,vehicle,car,10021,700,645,4.006,0
71011A1PB,JESSA ZIEKENHUIS,"STADSOMVAART 11, 3500, HASSELT","JESSA ZIEKENHUIS -- STADSOMVAART 11, 3500, HASSELT","c(5.34171499190718, 50.92607995)",1,1,1,2025-10-11T08:00:00Z,2025-10-11T08:09:27Z,vehicle,car,8116,567,529,3.2167,0
71011A20-,JESSA ZIEKENHUIS,"STADSOMVAART 11, 3500, HASSELT","JESSA ZIEKENHUIS -- STADSOMVAART 11, 3500, HASSELT","c(5.34171499190718, 50.92607995)",1,1,1,2025-10-11T08:00:00Z,2025-10-11T08:12:38Z,vehicle,car,10512,758,704,4.024,0
71011A211,JESSA ZIEKENHUIS,"STADSOMVAART 11, 3500, HASSELT","JESSA ZIEKENHUIS -- STADSOMVAART 11, 3500, HASSELT","c(5.34171499190718, 50.92607995)",1,1,1,2025-10-11T08:00:00Z,2025-10-11T08:10:53Z,vehicle,car,9212,653,600,3.4448,0
71011A291,JESSA ZIEKENHUIS,"STADSOMVAART 11, 3500, HASSELT","JESSA ZIEKENHUIS -- STADSOMVAART 11, 3500, HASSELT","c(5.34171499190718, 50.92607995)",1,1,1,2025-10-11T08:00:00Z,2025-10-11T08:10:54Z,vehicle,car,7087,654,606,2.9351,0
71011A587,JESSA ZIEKENHUIS,"STADSOMVAART 11, 3500, HASSELT","JESSA ZIEKENHUIS -- STADSOMVAART 11, 3500, HASSELT","c(5.34171499190718, 50.92607995)",1,1,1,2025-10-11T08:00:00Z,2025-10-11T08:12:40Z,vehicle,car,6600,760,723,3.0583,0
71011A598,JESSA ZIEKENHUIS,"STADSOMVAART 11, 3500, HASSELT","JESSA ZIEKENHUIS -- STADSOMVAART 11, 3500, HASSELT","c(5.34171499190718, 50.92607995)",1,1,1,2025-10-11T08:00:00Z,2025-10-11T08:11:59Z,vehicle,car,9282,719,674,3.856,0
71011A622,JESSA ZIEKENHUIS,"STADSOMVAART 11, 3500, HASSELT","JESSA ZIEKENHUIS -- STADSOMVAART 11, 3500, HASSELT","c(5.34171499190718, 50.92607995)",1,1,1,2025-10-11T08:00:00Z,2025-10-11T08:12:35Z,vehicle,car,10116,755,682,3.9003,0
