origin,destination.ziekenhuis_naam,destination.volledig_adres,destination.ziekenhuis,destination.geom,id,rank,section,departure,arrival,type,mode,distance,duration,duration_base,consumption,tolls
34027C112,AZ GROENINGE,"PRESIDENT KENNEDYLAAN 4, 8500, KORTRIJK","AZ GROENINGE -- PRESIDENT KENNEDYLAAN 4, 8500, KORTRIJK","c(3.26438963986958, 50.8018165)",1,1,1,2025-10-11T08:00:00Z,2025-10-11T08:11:22Z,vehicle,car,11296,682,663,4.5081,0
34027C191,AZ GROENINGE,"PRESIDENT KENNEDYLAAN 4, 8500, KORTRIJK","AZ GROENINGE -- PRESIDENT KENNEDYLAAN 4, 8500, KORTRIJK","c(3.26438963986958, 50.8018165)",1,1,1,2025-10-11T08:00:00Z,2025-10-11T08:07:43Z,vehicle,car,9152,463,451,3.5157,0
34027C1MA,AZ GROENINGE,"PRESIDENT KENNEDYLAAN 4, 8500, KORTRIJK","AZ GROENINGE -- PRESIDENT KENNEDYLAAN 4, 8500, KORTRIJK","c(3.26438963986958, 50.8018165)",1,1,1,2025-10-11T08:00:00Z,2025-10-11T08:09:21Z,vehicle,car,9569,561,550,3.8346,0
34027C1PA,AZ GROENINGE,"PRESIDENT KENNEDYLAAN 4, 8500, KORTRIJK","AZ GROENINGE -- PRESIDENT KENNEDYLAAN 4, 8500, KORTRIJK","c(3.26438963986958, 50.8018165)",1,1,1,2025-10-11T08:00:00Z,2025-10-11T08:10:52Z,vehicle,car,11152,652,627,4.4024,0
34040A071,AZ GROENINGE,"PRESIDENT KENNEDYLAAN 4, 8500, KORTRIJK","AZ GROENINGE -- PRESIDENT KENNEDYLAAN 4, 8500, KORTRIJK","c(3.26438963986958, 50.8018165)",1,1,1,2025-10-11T08:00:00Z,2025-10-11T08:13:31Z,vehicle,car,17532,811,802,6.9004,0
34040A302,AZ GROENINGE,"PRESIDENT KENNEDYLAAN 4, 8500, KORTRIJK","AZ GROENINGE -- PRESIDENT KENNEDYLAAN 4, 8500, KORTRIJK","c(3.26438963986958, 50.8018165)",1,1,1,2025-10-11T08:00:00Z,2025-10-11T08:14:24Z,vehicle,car,18280,864,853,7.2032,0
34040A313,AZ GROENINGE,"PRESIDENT KENNEDYLAAN 4, 8500, KORTRIJK","AZ GROENINGE -- PRESIDENT KENNEDYLAAN 4, 8500, KORTRIJK","c(3.26438963986958, 50.8018165)",1,1,1,2025-10-11T08:00:00Z,2025-10-11T08:15:48Z,vehicle,car,18991,948,913,7.5294,0
34040A392,AZ GROENINGE,"PRESIDENT KENNEDYLAAN 4, 8500, KORTRIJK","AZ GROENINGE -- PRESIDENT KENNEDYLAAN 4, 8500, KORTRIJK","c(3.26438963986958, 50.8018165)",1,1,1,2025-10-11T08:00:00Z,2025-10-11T08:14:54Z,vehicle,car,18629,894,883,7.3499,0
34040B072,AZ GROENINGE,"PRESIDENT KENNEDYLAAN 4, 8500, KORTRIJK","AZ GROENINGE -- PRESIDENT KENNEDYLAAN 4, 8500, KORTRIJK","c(3.26438963986958, 50.8018165)",1,1,1,2025-10-11T08:00:00Z,2025-10-11T08:19:03Z,vehicle,car,14367,1143,1036,5.7798,0
34040B0PP,AZ GROENINGE,"PRESIDENT KENNEDYLAAN 4, 8500, KORTRIJK","AZ GROENINGE -- PRESIDENT KENNEDYLAAN 4, 8500, KORTRIJK","c(3.26438963986958, 50.8018165)",1,1,1,2025-10-11T08:00:00Z,2025-10-11T08:18:35Z,vehicle,car,13467,1115,1020,5.5365,0
34040C001,AZ GROENINGE,"PRESIDENT KENNEDYLAAN 4, 8500, KORTRIJK","AZ GROENINGE -- PRESIDENT KENNEDYLAAN 4, 8500, KORTRIJK","c(3.26438963986958, 50.8018165)",1,1,1,2025-10-11T08:00:00Z,2025-10-11T08:18:10Z,vehicle,car,17537,1090,1032,7.0172,0
34040C022,AZ GROENINGE,"PRESIDENT KENNEDYLAAN 4, 8500, KORTRIJK","AZ GROENINGE -- PRESIDENT KENNEDYLAAN 4, 8500, KORTRIJK","c(3.26438963986958, 50.8018165)",1,1,1,2025-10-11T08:00:00Z,2025-10-11T08:18:22Z,vehicle,car,17637,1102,1058,7.0594,0
34040C091,AZ GROENINGE,"PRESIDENT KENNEDYLAAN 4, 8500, KORTRIJK","AZ GROENINGE -- PRESIDENT KENNEDYLAAN 4, 8500, KORTRIJK","c(3.26438963986958, 50.8018165)",1,1,1,2025-10-11T08:00:00Z,2025-10-11T08:20:51Z,vehicle,car,18829,1251,1190,7.66,0
34041A111,AZ GROENINGE,"PRESIDENT KENNEDYLAAN 4, 8500, KORTRIJK","AZ GROENINGE -- PRESIDENT KENNEDYLAAN 4, 8500, KORTRIJK","c(3.26438963986958, 50.8018165)",1,1,1,2025-10-11T08:00:00Z,2025-10-11T08:14:11Z,vehicle,car,15834,851,816,5.8723,0
34041A1PN,AZ GROENINGE,"PRESIDENT KENNEDYLAAN 4, 8500, KORTRIJK","AZ GROENINGE -- PRESIDENT KENNEDYLAAN 4, 8500, KORTRIJK","c(3.26438963986958, 50.8018165)",1,1,1,2025-10-11T08:00:00Z,2025-10-11T08:16:09Z,vehicle,car,13695,969,881,5.6422,0
34041C052,AZ GROENINGE,"PRESIDENT KENNEDYLAAN 4, 8500, KORTRIJK","AZ GROENINGE -- PRESIDENT KENNEDYLAAN 4, 8500, KORTRIJK","c(3.26438963986958, 50.8018165)",1,1,1,2025-10-11T08:00:00Z,2025-10-11T08:16:52Z,vehicle,car,13228,1012,962,5.1762,0
34041C19-,AZ GROENINGE,"PRESIDENT KENNEDYLAAN 4, 8500, KORTRIJK","AZ GROENINGE -- PRESIDENT KENNEDYLAAN 4, 8500, KORTRIJK","c(3.26438963986958, 50.8018165)",1,1,1,2025-10-11T08:00:00Z,2025-10-11T08:12:57Z,vehicle,car,15180,777,741,5.455,0
36007A1BB,AZ GROENINGE,"PRESIDENT KENNEDYLAAN 4, 8500, KORTRIJK","AZ GROENINGE -- PRESIDENT KENNEDYLAAN 4, 8500, KORTRIJK","c(3.26438963986958, 50.8018165)",1,1,1,2025-10-11T08:00:00Z,2025-10-11T08:21:54Z,vehicle,car,16934,1314,1238,6.7716,0
36007A1PB,AZ GROENINGE,"PRESIDENT KENNEDYLAAN 4, 8500, KORTRIJK","AZ GROENINGE -- PRESIDENT KENNEDYLAAN 4, 8500, KORTRIJK","c(3.26438963986958, 50.8018165)",1,1,1,2025-10-11T08:00:00Z,2025-10-11T08:21:26Z,vehicle,car,16843,1286,1202,6.7186,0
